date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2025-01-01,10.1,6.6,14.2,0,,173,13.8,51.8,1027.5,
2025-01-02,13.1,11.9,14.6,0.2,,187,16.5,53.7,1023.9,
2025-01-03,14.5,13.6,15.4,28.3,,206,19.8,61.1,1020.2,
2025-01-04,15.3,14.6,16,8.9,,190,20.5,83.3,1014.8,
2025-01-05,14.8,13.1,16.6,5.1,,198,23,83.3,998.2,
2025-01-06,11.3,9.8,13.7,30.2,,259,19.1,79.6,1008.3,
2025-01-07,13.9,9.7,17.1,3.8,,205,20.1,75.9,1012.5,
2025-01-08,15.7,14.6,16.8,21.3,,218,27.2,114.8,1006.9,
2025-01-09,15.5,14.2,17.1,1.1,,228,18,75.9,1018.2,
2025-01-10,16.4,15.3,17.9,13.5,,215,17.1,51.8,1022,
2025-01-11,14.9,13.4,16.3,4.6,,292,9,42.6,1029.3,
2025-01-12,12.3,10,15.5,0.5,,99,6.3,25.9,1033.4,
2025-01-13,9.4,7,12.6,0,,98,7.4,27.8,1032.1,
2025-01-14,10.1,6.7,14.6,0,,141,6.5,31.5,1031.2,
2025-01-15,8.2,5.2,12.3,0,,153,5.8,22.2,1031.4,
2025-01-16,9,4.5,13.8,0,,95,9.2,31.5,1027.3,
2025-01-17,9.9,6.4,16.1,0,,133,8.1,31.5,1028,
2025-01-18,10.1,7,14.9,0,,165,9.6,33.3,1026.1,
2025-01-19,10,8.5,11.3,13.7,,158,11.5,42.6,1016.1,
2025-01-20,12,9.4,15.2,12,,145,7.4,25.9,1011.3,
2025-01-21,14.4,12.3,17.3,15.4,,153,8.4,31.5,1005.1,
2025-01-22,12.9,11.6,14.1,6.7,,116,12.4,44.5,1004.8,
2025-01-23,11.5,9.2,14.3,0,,160,8.6,50,1016.3,
2025-01-24,13.6,11.3,15.7,0,,197,25.1,77.8,1008.9,
2025-01-25,11.3,10.4,13,13.8,,235,16.4,50,1012.1,
2025-01-26,14.5,10.2,17.2,11.9,,209,28.9,133.3,1001.1,
2025-01-27,11.4,8.8,14,4.1,,236,31.7,129.6,1002.8,
2025-01-28,10.8,8.7,13.1,22.3,,248,28.8,125.9,1015.8,
2025-01-29,11.4,9.6,12.7,19.7,,239,25.2,87,1009.9,
2025-01-30,11.6,9.2,13,20.6,,342,20,98.2,1028.3,
2025-01-31,11.1,7.7,14.2,0.8,,200,7.4,31.5,1031.9,
